frame.time_relative,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.flags,label
"13.442774000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.442942000","192.168.1.10","192.168.1.20","SAMR","226","0x0018",normal,normal
"13.443790000","192.168.1.20","192.168.1.10","SAMR","222","0x0018",normal,normal
"13.443970000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.444433000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.447372000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.448126000","192.168.1.20","192.168.1.10","SAMR","218","0x0018",normal,normal
"13.448305000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.448951000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.449434000","192.168.1.10","192.168.1.20","SAMR","934","0x0018",normal,normal
"13.450152000","192.168.1.20","192.168.1.10","SAMR","218","0x0018",normal,normal
"13.450391000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.450959000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.452981000","192.168.1.10","192.168.1.20","SMB2","130","0x0018",normal,normal
"13.456178000","192.168.1.10","192.168.1.20","SAMR","362","0x0018",normal,normal
"13.456674000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"13.456821000","192.168.1.20","192.168.1.10","SAMR","214","0x0018",normal,normal
"13.456938000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.457457000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.459196000","192.168.1.10","192.168.1.20","SAMR","206","0x0018",normal,normal
"13.459738000","192.168.1.20","192.168.1.10","SAMR","334","0x0018",normal,normal
"13.459871000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.460282000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.460397000","192.168.1.10","192.168.1.20","SAMR","198","0x0018",normal,normal
"13.460777000","192.168.1.20","192.168.1.10","SAMR","214","0x0018",normal,normal
"13.460869000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.461241000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.461350000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.462500000","192.168.1.20","192.168.1.10","SAMR","214","0x0018",normal,normal
"13.462669000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.463419000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.464745000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.468188000","192.168.1.20","192.168.1.10","SAMR","214","0x0018",normal,normal
"13.468405000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.470579000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.470689000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.471923000","192.168.1.20","192.168.1.10","SAMR","214","0x0018",normal,normal
"13.472073000","192.168.1.10","192.168.1.20","SMB2","138","0x0018",normal,normal
"13.472655000","192.168.1.20","192.168.1.10","SMB2","171","0x0018",normal,normal
"13.472753000","192.168.1.10","192.168.1.20","SAMR","186","0x0018",normal,normal
"13.473207000","192.168.1.20","192.168.1.10","SMB2","146","0x0018",normal,normal
"13.473304000","192.168.1.10","192.168.1.20","SMB2","182","0x0018",normal,normal
"13.524779000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"18.182050000",,,"ARP","60",,normal,normal
"18.915619000",,,"ARP","60",,normal,normal
"19.915583000",,,"ARP","60",,normal,normal
"24.104179000","192.168.1.20","192.168.1.10","SMB2","126","0x0018",normal,normal
"24.104472000","192.168.1.10","192.168.1.20","SMB2","126","0x0018",normal,normal
"24.105768000","192.168.1.20","192.168.1.10","SMB2","126","0x0018",normal,normal
"24.106142000","192.168.1.10","192.168.1.20","SMB2","126","0x0018",normal,normal
